Symbol,Side,Quantity,Price,Account
ANGH,COVER,444,2.8032,FMR
AQMS,SHORT,9195,6.8123,FMR
DERM,SHORT,7488,9.0709,CLST
ELMD,BUY,1370,24.9368,FMR
FBRX,SHORT,6594,13.5173,CLST
FFAI,SHORT,30000,1.1266,FMR
FFAI,SHORT,136223,1.1266,JONE
FTCI,SHORT,11783,7.3796,FMR
HROW,COVER,9394,38.7476,FMR
INMB,SHORT,63868,1.5223,FMR
ISPR,COVER,3502,1.6445,CLST
ISPR,COVER,62,1.6445,FMR
MOB,COVER,3456,6.4466,CLST
MOB,COVER,5521,6.4466,FMR
MOB,COVER,476,6.4466,JONE
MOVE,SHORT,1014,11.2646,CLST
MOVE,SHORT,7686,11.2646,FMR
PERI,SHORT,20585,9.5169,FMR
RYDE,COVER,2822,0.5019,FMR
SONN,SHORT,66000,4.0606,FMR
TLIH,COVER,4469,0.4238,CLST
TLIH,COVER,25474,0.4238,JONE
VFS,SHORT,23757,3.4983,FMR
VSTA,COVER,1113,4.9653,FMR
